Rank	Protein	Overlapping Proteins	FET p-value	FDR	Odds Ratio
11	AURKB	NELFE,MYBBP1A,YY1,RBMXL1,NUMA1,SH2D4A,CCDC86,CAVIN1,SSH3,PLEC,VIM,RB1,PRRC2C,AHNAK,KRT8,TP53BP1,LMO7,ARHGAP21,COBLL1,ARHGAP23,DES,RBMX	2.73e-8	4.05e-7	4.929
12	PAK1	MYLK,FLNA,PGM1,GIT1,ARHGEF2,PAK1,RAF1,ILK,VIM,STMN1,BRAF,PA2G4,CTNNB1,PXN,SPEN	9.52e-8	1.29e-6	7.186
13	CDK5	DPYSL3,MEF2A,AGAP2,STAT3,LRRK2,DNM1L,PTK2,NR3C1,ADD2,VIM,RB1,TPPP,FZR1,TLN1,CCDC88A,MAPT,CTNNB1,PXN	4.03e-7	5.06e-6	5.001
14	SGK1	RICTOR,WNK1,NDRG2,NDRG1,NEDD4L,MAP2K4,CARHSP1,MAPT,MAPK1,PIKFYVE	5.86e-7	6.82e-6	11.58
15	MAP3K7	FLNA,HSP90B1,KSR1,PRKAA2,EIF4B,EEF1A1,LDHA,RAB1A,TUBB,RBMX	9.74e-7	1.06e-5	10.69
16	PRKCB	AKT1,NOX5,IBTK,EPB41,STMN1,ANXA2,GRN,IRS1,ILF3,DAB2,PTPN11,MAPT,C5AR1	2.35e-6	2.40e-5	6.227
17	RPS6KA1	FLNA,LCP1,EIF4B,PDCD4,CCT2,NDRG2,EEF2K,CIC,RPS6,MITF,CARHSP1,VASP,RANBP3	4.21e-6	4.04e-5	5.826
18	RPS6KB1	RICTOR,EIF4B,PDCD4,CCT2,NDRG2,EEF2K,CAD,IRS1,RPS6,MAPT	8.16e-6	7.38e-5	7.718
19	PRKG1	LIPE,PRKAR1A,PAK1,FHOD1,GTF2I,PRKG1,TTN,VASP,HSPB1,RGS18	1.17e-5	1.00e-4	7.312
20	CSNK2A1	AKT1,MEF2A,F5,PDCD5,YY1,EIF4EBP1,HNRNPA1,RRAD,APOE,NCOA2,MME,PAK1,NR3C2,CAST,PSEN2,CAV2,NASP,GPI,NCOR2,NCOR1,CTDP1,IGFBP1,CLIP1,EIF4G1,DNAJB2,WASF2,PML,SPTBN1,PACS1,PDIA6,FGA,MYH2,MYH9,MAPK1,ABCF1	1.35e-5	1.10e-4	2.395
21	FYN	AGAP2,FYB1,PRKAA2,FYN,ADD2,MAPK14,ABL1,PLXNA2,PTPN11,RPS6KA3,MAP2,MAPT,PXN,FLOT1	1.93e-5	1.50e-4	4.523
22	GSK3B	MYLK,DPYSL3,NEFH,RICTOR,EIF4EBP1,NACA,DNM1L,FBXO4,NR3C1,ADD2,JUNB,PRKCE,BCLAF1,MITF,PKM,APC,GYS1,MAPT,CTNNB1,MARK2,NIFK	4.66e-5	3.45e-4	2.977
23	MAPK8	STAT3,EIF4ENIF1,NR3C1,EEF1A2,YWHAZ,JUNB,NFATC1,IRS1,LAT,PKM,KRT8,DCP1A,MAPT,CTNNB1,PXN	5.55e-5	3.89e-4	3.789
24	GSK3A	AKT1,RICTOR,NDRG1,MITF,MAPT,CTNNB1,CTPS1,NIFK	5.72e-5	3.89e-4	7.938
25	PRKCD	STAT3,DNM1L,LCP1,GAPDH,MET,PEBP1,ADD1,PRKCD,PA2G4,IRS1,RPS6,DAB2,KRT8,CTNNB1,C5AR1	6.60e-5	4.30e-4	3.721
26	ROCK1	PPP1R12A,PPP1R12B,PTK2,FHOD1,MSN,ADD1,VIM,ARHGAP24,DES	8.24e-5	5.17e-4	6.251
27	JAK2	STAT3,GAB2,ARHGEF1,PAK1,GTF2I,MAPK1,MAPK3	1.03e-4	6.19e-4	8.84
28	CAMK2A	NOX5,FLNA,RRAD,TCAP,VIM,STMN1,NCOR2,KCNJ11,RYR2,MAPT,CTNNB1,CAMK2A	1.42e-4	8.25e-4	4.168
29	RET	AKT1,PTK2,MAPK14,MAPK8,MAPK1,MAPK3	1.74e-4	9.77e-4	10.42
30	PRKAA1	LIPE,PRKAB1,SNX17,PFKFB2,GAPDH,ULK1,EEF2K,TBC1D1,BRAF,KLC1,ACSS2,VASP,MAPT,PPP2R5C	2.10e-4	1.14e-3	3.473
31	PRKD1	AKT1,MBP,DNM1L,RIN1,TCAP,VASP,CTNNB1,MARK2,HSPB1,RABEP1	2.49e-4	1.31e-3	4.631
32	MAPKAPK2	AKT1,AGO2,RCSD1,NELFE,MAPKAPK2,EEF2K,YWHAZ,PARN,LSP1,HSPB1	3.82e-4	1.94e-3	4.341
33	RPS6KB2	RICTOR,HNRNPA1,EEF2K,HSPB1	6.07e-4	2.91e-3	18.52
34	MAP2K1	RAF1,KRT8,MAPK1,MAPK3	6.07e-4	2.91e-3	18.52
35	ABL1	MYLK,PSMA7,YY1,NUMA1,DNM1L,NCK1,MET,RBM39,RB1,JUNB,ABL1,VAV1,CTNNB1,PXN	1.26e-3	5.86e-3	2.819
36	PTK6	AKT1,CTNNB1,PXN,ARAP1	1.96e-3	8.74e-3	11.11
37	PLK1	OPTN,YY1,PIN1,PPP6R2,PCNT,VIM,WDR62,RIOK2,IRS1,CLIP1,TP53BP1,RSF1,TOPORS,SVIL,CTNNB1,TSC1	1.98e-3	8.74e-3	2.47
38	PDK1	AKT2,AKT3,AKT1,PAK1,PDHA1,PRKCE	2.08e-3	8.84e-3	5.557
39	MAPK14	MEF2A,BAZ1B,KCNB1,STAT3,MAPKAPK2,S100A9,NR3C1,RB1,PRKCE,NFATC1,HBP1,KRT8,MAOA,PXN,HSPB1	2.12e-3	8.84e-3	2.541
40	PTK2	ACTN1,PTK2,GIT1,ATP2B4,LAT	2.33e-3	9.28e-3	6.946
41	CSNK1E	EIF4EBP1,PRKD2,CTNND1,APC,CTNNB1	2.33e-3	9.28e-3	6.946
42	PRKCQ	RAPGEF2,PPP1R12A,MSN,PRKCQ,IRS1,CCDC88A	2.70e-3	0.011	5.21
43	EGFR	AGO2,GSTP1,EPB41,PTK2,GAB1,PKM,PPP2CA,CTNNB1	2.78e-3	0.011	3.832
44	CDK6	RB1,PKM,RUNX1,RBL2	3.09e-3	0.011	9.261
45	LRRK2	AKT1,LRRK2,MSN,DNAJC6,MAPT	3.21e-3	0.012	6.315
46	RPS6KA3	STAT3,LCP1,PPP1R3A,STMN1,CIC,RPS6,RANBP3	3.90e-3	0.014	4.052
47	CSNK1D	PSEN2,PRKD2,APC,MTSS1,MAPT,CTNNB1	4.34e-3	0.015	4.631
48	PRKD2	RIN1,PRKD2,VASP,MARK2	4.60e-3	0.016	7.938
49	MAPK13	EEF2K,STMN1,MAPT	5.21e-3	0.017	13.89
50	MAP2K4	MAPK14,MAP2K4,MAPK8	5.21e-3	0.017	13.89
51	PAK2	CALD1,ABL1,EIF4G1,PXN	6.53e-3	0.021	6.946
52	DYRK2	DPYSL3,EIF4EBP1,CARHSP1,MAPT	6.53e-3	0.021	6.946
53	RAF1	PPP1R12A,EEF1A2,RAF1	8.66e-3	0.026	10.42
54	ERBB2	LDHA,CTNNB1,DOCK7	8.66e-3	0.026	10.42
55	STK11	PAK1,SIK3,MARK3,MARK2,MARK1	9.09e-3	0.027	4.631
56	PRKCZ	ADD1,ADD2,IRS1,MAPT,CTNNB1,MARK3,MARK2	9.22e-3	0.027	3.353
57	ROCK2	PPP1R12A,EEF1A1,NFATC1,DAB2	0.012	0.033	5.557
58	PRKCE	IQGAP1,STAT3,MET,PRKCE,PRKD2,CTNND1,MAPT	0.012	0.033	3.137
59	CAMK2D	CACNB2,TTN,KCNJ11	0.013	0.033	8.335
60	BMX	MET,PTK2,PAK1	0.013	0.033	8.335
61	BRAF	EEF1A1,EEF1A2,BRAF	0.013	0.033	8.335
62	PTK2B	PTK2,PTK2B,LAT	0.013	0.033	8.335
63	PRKCH	GSTP1,PRKD2,PTPN11	0.013	0.033	8.335
64	MAPK12	MAPK12,MAPT,CTNNB1	0.013	0.033	8.335
65	ALK	STAT3,PTPN11,VASP	0.013	0.033	8.335
66	AKT2	FLNC,GAPDH,C2CD5,ANKRD2,CTNNB1	0.014	0.034	4.086
67	ATM	EIF4EBP1,SMARCC2,HUWE1,VCP,DYRK2,CHD4,MED1,NHEJ1,MCM3,RNF20,TP53BP1,KDM2A,AVEN,USP34,PPP2R5C	0.015	0.036	1.985
68	MARK2	BAIAP2,ARHGEF2,MAPT,MARK2	0.015	0.036	5.052
69	ULK1	SMCR8,ENO1,SEC16A,HK1	0.015	0.036	5.052
70	ZAP70	GAB2,MAPK14,LAT	0.019	0.043	6.946
71	FER	STAT3,MET,GAB1	0.019	0.043	6.946
72	PDGFRB	FYN,PTK2,THOC5	0.019	0.043	6.946
73	MAPK11	NR3C1,EEF2K,PRKCE,GYS1	0.019	0.043	4.631
74	LCK	SLC25A4,DAPP1,MAPK14,PRKCQ,PRDX1,VAV1,PPP2CA	0.024	0.051	2.701
75	PRKCG	DAB2,DNAJC5,MAPT,C5AR1	0.024	0.051	4.274
76	TBK1	AKT1,OPTN,SMCR8,PEBP1	0.024	0.051	4.274
77	NEK6	STAT3,HSPA1B,RBL2	0.033	0.070	5.21
78	PAK4	ARHGEF2,CTNNB1,PXN	0.033	0.070	5.21
79	WNK1	WNK1,OXSR1	0.039	0.075	9.261
80	NUAK1	PPP1R12A,MAPT	0.039	0.075	9.261
81	MAP3K11	PIN1,MAP2K4	0.039	0.075	9.261
82	MERTK	AKT1,STAT3	0.039	0.075	9.261
83	TRPM7	EEF2K,MYH9	0.039	0.075	9.261
84	MET	MET,PTK2	0.039	0.075	9.261
85	MAP2K6	MAPK14,MAPK12	0.039	0.075	9.261
86	FGFR3	RPS6KA3,CTNNB1	0.039	0.075	9.261
87	PIM1	HBP1,IRS1,IRS2,MARK3	0.042	0.076	3.473
88	DAPK1	PIN1,TPM1,MCM3	0.042	0.076	4.631
89	MAP3K5	MAPK14,MAP2K4,MAPK8	0.042	0.076	4.631
90	AXL	AKT1,STAT3,FYN	0.042	0.076	4.631
91	CDK9	NCOA2,RB1,XRN2	0.042	0.076	4.631
92	ATR	SMARCC2,AKAP12,HUWE1,VCP,SUN2,IRS1,CNOT2,MCM3	0.051	0.091	2.097
93	AURKA	MYBBP1A,YY1,PIN1,NUMA1,KCTD12,PSEN2,WDR62	0.054	0.094	2.21
94	ILK	AKT1,NACA	0.057	0.096	6.946
95	EIF2AK2	MAPT,PPP2R5A	0.057	0.096	6.946
96	GRK6	GRK6,LTB4R	0.057	0.096	6.946
97	INSR	GAB1,IRS1,PPP2CA	0.063	0.106	3.789
98	LYN	YY1,DAPP1,SLC4A1,ABL1,AKAP8	0.068	0.113	2.481
99	PKN1	CLIP1,MAPT	0.076	0.122	5.557
100	CAMK4	STMN1,CAMK2A	0.076	0.122	5.557
101	IGF1R	ANXA2,IRS1	0.076	0.122	5.557
102	IKBKB	OPTN,RAPGEF2,IRS1,TSC1	0.094	0.150	2.526
103	STK39	SLC12A4,SLC12A7	0.096	0.153	4.631
104	DYRK1A	NFATC1,SF3B1,MAPT	0.102	0.160	2.977
105	PRKCI	MAPT,MARK3,MARK2	0.117	0.179	2.778
106	MAPK7	MEF2A,PML	0.119	0.179	3.969
107	CAMK1	LIPE,CAMK2A	0.119	0.179	3.969
108	STK3	PRKCA,ABL1	0.119	0.179	3.969
109	PRKDC	AKT1,VCP,VIM,MED1,NHEJ1	0.129	0.192	1.985
110	HIPK2	MECP2,PML,RUNX1	0.132	0.195	2.605
111	LATS2	YWHAG,ABL1	0.142	0.208	3.473
112	CSNK1A1	RAPGEF2,YWHAZ,SLC4A1,APC,CTNNB1	0.160	0.233	1.828
113	CDK4	TCF3,RB1,RBL2	0.164	0.237	2.315
114	JAK3	NFATC1,CTNNB1	0.166	0.237	3.087
115	CHUK	CREBBP,NCOR2,CTNNB1	0.181	0.257	2.193
116	TTK	ARHGEF17,ABL1	0.191	0.266	2.778
117	ABL2	PSMA7,MAPT	0.191	0.266	2.778
118	PBK	PRDX1	0.243	0.335	4.631
119	CHEK2	RB1,PML,MAPT	0.253	0.346	1.812
120	IKBKE	AKT1,NFATC1	0.293	0.380	1.985
121	PRKAA2	BAIAP2,EEF2K	0.293	0.380	1.985
122	TYK2	STAT3	0.294	0.380	3.473
123	MARK3	ARHGEF2	0.294	0.380	3.473
124	GRK5	ST13	0.294	0.380	3.473
125	MKNK1	HNRNPA1	0.294	0.380	3.473
126	MAPKAPK5	KALRN	0.294	0.380	3.473
127	GRK2	MSN,MAPK14	0.318	0.408	1.852
128	PRKG2	MET	0.341	0.421	2.778
129	TGFBR1	EEF1A1	0.341	0.421	2.778
130	LATS1	RAF1	0.341	0.421	2.778
131	DYRK1B	SF3B1	0.341	0.421	2.778
132	YES1	PTK2	0.341	0.421	2.778
133	CDK7	CDK12,XRN2	0.368	0.451	1.634
134	MAPK10	NFATC1	0.385	0.465	2.315
135	PLK4	PCM1	0.385	0.465	2.315
136	CDK3	RB1	0.427	0.508	1.985
137	FGFR1	LDHA	0.427	0.508	1.985
138	PLK2	YWHAE	0.465	0.542	1.737
139	HCK	ABL1	0.465	0.542	1.737
140	ITK	DEF6	0.465	0.542	1.737
141	SYK	SLC4A1,MAPT	0.486	0.562	1.263
142	CSNK2A2	CTNNB1	0.501	0.567	1.544
143	RPS6KA5	WNK1	0.501	0.567	1.544
144	BTK	GTF2I	0.501	0.567	1.544
145	MAPK9	BAZ1B,MAPT	0.570	0.640	1.069
146	PLK3	YWHAE	0.751	0.839	0.7312
